File name,20200601S181BL.kcd
Result analysis file name,20200601S181BL-1.raf
Subject,20200602BSL1S179S180
Gender,Male
Age
Memo,20200602BSL1S179S180S181
Free comment 1,Recordings,20200601BSL1S179S180S181
Free comment 2,ch1 ,S179
Free comment 3,ch2,S180
Free comment 4,ch3,S181
Free comment 5,ch4 ,
Free comment 6,ch5,
Free comment 7,ch6 ,
Free comment 8,ch7,
Free comment 9,ch8,
Free comment 10,operator,sakthi

Start time,2020/06/01 10:59:38
End time,2020/06/01 17:01:34
Time division(hr),6

2020/06/01 10:59:38,,,,,,,2020/06/01 16:59:38,,,,,,,
Stage,Count,Mean duration(sec.),SD(+-),,,,Stage,Count,Mean duration(sec.),SD(+-),,,,
l,197,35,70,,,,l,0,None,None,,,,
R,31,45,45,,,,R,0,None,None,,,,
S,147,84,79,,,,S,0,None,None,,,,
2,0,None,None,,,,2,0,None,None,,,,
3,0,None,None,,,,3,0,None,None,,,,
4,0,None,None,,,,4,0,None,None,,,,
M,0,None,None,,,,M,0,None,None,,,,
F1,0,None,None,,,,F1,0,None,None,,,,
F2,0,None,None,,,,F2,0,None,None,,,,
h,68,7,6,,,,h,0,None,None,,,,
NonREMSleep,147,84,79,,,,NonREMSleep,0,None,None,,,,
TotalSleep,130,106,91,,,,TotalSleep,0,None,None,,,,
78,672,2020/06/01 11:44:26,R,7,28,,,,,,,,,
79,679,2020/06/01 11:44:54,S,1,4,,,,,,,,,
80,680,2020/06/01 11:44:58,R,19,76,,,,,,,,,
81,699,2020/06/01 11:46:14,l,5,20,,,,,,,,,
82,704,2020/06/01 11:46:34,S,9,36,,,,,,,,,
83,713,2020/06/01 11:47:10,l,1,4,,,,,,,,,
84,714,2020/06/01 11:47:14,S,22,88,,,,,,,,,
85,736,2020/06/01 11:48:42,l,1,4,,,,,,,,,
86,737,2020/06/01 11:48:46,S,61,244,,,,,,,,,
87,798,2020/06/01 11:52:50,l,6,24,,,,,,,,,
88,804,2020/06/01 11:53:14,S,4,16,,,,,,,,,
89,808,2020/06/01 11:53:30,l,1,4,,,,,,,,,
90,809,2020/06/01 11:53:34,S,11,44,,,,,,,,,
91,820,2020/06/01 11:54:18,l,50,200,,,,,,,,,
92,870,2020/06/01 11:57:38,h,4,16,,,,,,,,,
93,874,2020/06/01 11:57:54,l,5,20,,,,,,,,,
94,879,2020/06/01 11:58:14,h,5,20,,,,,,,,,
95,884,2020/06/01 11:58:34,l,4,16,,,,,,,,,
96,888,2020/06/01 11:58:50,h,1,4,,,,,,,,,
97,889,2020/06/01 11:58:54,l,123,492,,,,,,,,,
98,1012,2020/06/01 12:07:06,h,1,4,,,,,,,,,
99,1013,2020/06/01 12:07:10,l,14,56,,,,,,,,,
100,1027,2020/06/01 12:08:06,S,9,36,,,,,,,,,
101,1036,2020/06/01 12:08:42,l,4,16,,,,,,,,,
102,1040,2020/06/01 12:08:58,S,21,84,,,,,,,,,
103,1061,2020/06/01 12:10:22,l,1,4,,,,,,,,,
104,1062,2020/06/01 12:10:26,S,3,12,,,,,,,,,
105,1065,2020/06/01 12:10:38,l,1,4,,,,,,,,,
106,1066,2020/06/01 12:10:42,S,37,148,,,,,,,,,
107,1103,2020/06/01 12:13:10,l,8,32,,,,,,,,,
108,1111,2020/06/01 12:13:42,S,27,108,,,,,,,,,
109,1138,2020/06/01 12:15:30,l,2,8,,,,,,,,,
110,1140,2020/06/01 12:15:38,S,36,144,,,,,,,,,
111,1176,2020/06/01 12:18:02,R,5,20,,,,,,,,,
112,1181,2020/06/01 12:18:22,S,1,4,,,,,,,,,
113,1182,2020/06/01 12:18:26,R,3,12,,,,,,,,,
114,1185,2020/06/01 12:18:38,l,3,12,,,,,,,,,
115,1188,2020/06/01 12:18:50,S,28,112,,,,,,,,,
116,1216,2020/06/01 12:20:42,l,2,8,,,,,,,,,
117,1218,2020/06/01 12:20:50,S,86,344,,,,,,,,,
118,1304,2020/06/01 12:26:34,l,2,8,,,,,,,,,
119,1306,2020/06/01 12:26:42,S,20,80,,,,,,,,,
120,1326,2020/06/01 12:28:02,R,22,88,,,,,,,,,
121,1348,2020/06/01 12:29:30,l,3,12,,,,,,,,,
122,1351,2020/06/01 12:29:42,S,8,32,,,,,,,,,
123,1359,2020/06/01 12:30:14,l,1,4,,,,,,,,,
124,1360,2020/06/01 12:30:18,S,12,48,,,,,,,,,
125,1372,2020/06/01 12:31:06,l,3,12,,,,,,,,,
126,1375,2020/06/01 12:31:18,S,12,48,,,,,,,,,
127,1387,2020/06/01 12:32:06,l,3,12,,,,,,,,,
128,1390,2020/06/01 12:32:18,S,31,124,,,,,,,,,
129,1421,2020/06/01 12:34:22,l,2,8,,,,,,,,,
130,1423,2020/06/01 12:34:30,S,25,100,,,,,,,,,
131,1448,2020/06/01 12:36:10,l,3,12,,,,,,,,,
132,1451,2020/06/01 12:36:22,S,34,136,,,,,,,,,
133,1485,2020/06/01 12:38:38,l,2,8,,,,,,,,,
134,1487,2020/06/01 12:38:46,h,1,4,,,,,,,,,
135,1488,2020/06/01 12:38:50,l,2,8,,,,,,,,,
136,1490,2020/06/01 12:38:58,S,18,72,,,,,,,,,
137,1508,2020/06/01 12:40:10,R,1,4,,,,,,,,,
138,1509,2020/06/01 12:40:14,S,2,8,,,,,,,,,
139,1511,2020/06/01 12:40:22,R,44,176,,,,,,,,,
140,1555,2020/06/01 12:43:18,l,3,12,,,,,,,,,
141,1558,2020/06/01 12:43:30,S,5,20,,,,,,,,,
142,1563,2020/06/01 12:43:50,l,3,12,,,,,,,,,
143,1566,2020/06/01 12:44:02,S,16,64,,,,,,,,,
144,1582,2020/06/01 12:45:06,l,3,12,,,,,,,,,
145,1585,2020/06/01 12:45:18,S,15,60,,,,,,,,,
146,1600,2020/06/01 12:46:18,l,1,4,,,,,,,,,
147,1601,2020/06/01 12:46:22,S,52,208,,,,,,,,,
148,1653,2020/06/01 12:49:50,l,5,20,,,,,,,,,
149,1658,2020/06/01 12:50:10,S,13,52,,,,,,,,,
150,1671,2020/06/01 12:51:02,l,2,8,,,,,,,,,
151,1673,2020/06/01 12:51:10,S,16,64,,,,,,,,,
152,1689,2020/06/01 12:52:14,l,2,8,,,,,,,,,
153,1691,2020/06/01 12:52:22,S,25,100,,,,,,,,,
154,1716,2020/06/01 12:54:02,l,3,12,,,,,,,,,
155,1719,2020/06/01 12:54:14,S,6,24,,,,,,,,,
156,1725,2020/06/01 12:54:38,l,18,72,,,,,,,,,
157,1743,2020/06/01 12:55:50,h,1,4,,,,,,,,,
158,1744,2020/06/01 12:55:54,l,2,8,,,,,,,,,
159,1746,2020/06/01 12:56:02,h,1,4,,,,,,,,,
160,1747,2020/06/01 12:56:06,l,75,300,,,,,,,,,
161,1822,2020/06/01 13:01:06,h,1,4,,,,,,,,,
162,1823,2020/06/01 13:01:10,l,2,8,,,,,,,,,
163,1825,2020/06/01 13:01:18,h,5,20,,,,,,,,,
164,1830,2020/06/01 13:01:38,l,12,48,,,,,,,,,
165,1842,2020/06/01 13:02:26,h,1,4,,,,,,,,,
166,1843,2020/06/01 13:02:30,l,5,20,,,,,,,,,
167,1848,2020/06/01 13:02:50,h,1,4,,,,,,,,,
168,1849,2020/06/01 13:02:54,l,75,300,,,,,,,,,
169,1924,2020/06/01 13:07:54,h,2,8,,,,,,,,,
170,1926,2020/06/01 13:08:02,l,1,4,,,,,,,,,
171,1927,2020/06/01 13:08:06,h,5,20,,,,,,,,,
172,1932,2020/06/01 13:08:26,l,34,136,,,,,,,,,
173,1966,2020/06/01 13:10:42,S,1,4,,,,,,,,,
174,1967,2020/06/01 13:10:46,l,1,4,,,,,,,,,
175,1968,2020/06/01 13:10:50,h,1,4,,,,,,,,,
176,1969,2020/06/01 13:10:54,l,44,176,,,,,,,,,
177,2013,2020/06/01 13:13:50,h,1,4,,,,,,,,,
178,2014,2020/06/01 13:13:54,l,8,32,,,,,,,,,
179,2022,2020/06/01 13:14:26,h,1,4,,,,,,,,,
180,2023,2020/06/01 13:14:30,l,2,8,,,,,,,,,
181,2025,2020/06/01 13:14:38,h,1,4,,,,,,,,,
182,2026,2020/06/01 13:14:42,l,3,12,,,,,,,,,
183,2029,2020/06/01 13:14:54,h,8,32,,,,,,,,,
184,2037,2020/06/01 13:15:26,l,2,8,,,,,,,,,
185,2039,2020/06/01 13:15:34,h,1,4,,,,,,,,,
186,2040,2020/06/01 13:15:38,l,7,28,,,,,,,,,
187,2047,2020/06/01 13:16:06,S,9,36,,,,,,,,,
188,2056,2020/06/01 13:16:42,l,2,8,,,,,,,,,
189,2058,2020/06/01 13:16:50,S,43,172,,,,,,,,,
190,2101,2020/06/01 13:19:42,l,1,4,,,,,,,,,
191,2102,2020/06/01 13:19:46,S,13,52,,,,,,,,,
192,2115,2020/06/01 13:20:38,l,3,12,,,,,,,,,
193,2118,2020/06/01 13:20:50,S,31,124,,,,,,,,,
194,2149,2020/06/01 13:22:54,l,3,12,,,,,,,,,
195,2152,2020/06/01 13:23:06,S,11,44,,,,,,,,,
196,2163,2020/06/01 13:23:50,l,1,4,,,,,,,,,
197,2164,2020/06/01 13:23:54,S,34,136,,,,,,,,,
198,2198,2020/06/01 13:26:10,l,2,8,,,,,,,,,
199,2200,2020/06/01 13:26:18,S,47,188,,,,,,,,,
200,2247,2020/06/01 13:29:26,R,1,4,,,,,,,,,
201,2248,2020/06/01 13:29:30,S,3,12,,,,,,,,,
202,2251,2020/06/01 13:29:42,R,10,40,,,,,,,,,
203,2261,2020/06/01 13:30:22,S,1,4,,,,,,,,,
204,2262,2020/06/01 13:30:26,R,10,40,,,,,,,,,
205,2272,2020/06/01 13:31:06,S,2,8,,,,,,,,,
206,2274,2020/06/01 13:31:14,R,15,60,,,,,,,,,
207,2289,2020/06/01 13:32:14,l,6,24,,,,,,,,,
208,2295,2020/06/01 13:32:38,S,15,60,,,,,,,,,
209,2310,2020/06/01 13:33:38,l,1,4,,,,,,,,,
210,2311,2020/06/01 13:33:42,S,12,48,,,,,,,,,
211,2323,2020/06/01 13:34:30,l,2,8,,,,,,,,,
212,2325,2020/06/01 13:34:38,S,14,56,,,,,,,,,
213,2339,2020/06/01 13:35:34,l,2,8,,,,,,,,,
214,2341,2020/06/01 13:35:42,S,20,80,,,,,,,,,
215,2361,2020/06/01 13:37:02,l,3,12,,,,,,,,,
216,2364,2020/06/01 13:37:14,S,57,228,,,,,,,,,
217,2421,2020/06/01 13:41:02,l,4,16,,,,,,,,,
218,2425,2020/06/01 13:41:18,h,1,4,,,,,,,,,
219,2426,2020/06/01 13:41:22,l,14,56,,,,,,,,,
220,2440,2020/06/01 13:42:18,h,3,12,,,,,,,,,
221,2443,2020/06/01 13:42:30,l,26,104,,,,,,,,,
222,2469,2020/06/01 13:44:14,h,1,4,,,,,,,,,
223,2470,2020/06/01 13:44:18,l,8,32,,,,,,,,,
224,2478,2020/06/01 13:44:50,h,1,4,,,,,,,,,
225,2479,2020/06/01 13:44:54,l,109,436,,,,,,,,,
226,2588,2020/06/01 13:52:10,S,1,4,,,,,,,,,
227,2589,2020/06/01 13:52:14,l,22,88,,,,,,,,,
228,2611,2020/06/01 13:53:42,h,1,4,,,,,,,,,
229,2612,2020/06/01 13:53:46,l,3,12,,,,,,,,,
230,2615,2020/06/01 13:53:58,h,1,4,,,,,,,,,
231,2616,2020/06/01 13:54:02,l,19,76,,,,,,,,,
232,2635,2020/06/01 13:55:18,h,1,4,,,,,,,,,
233,2636,2020/06/01 13:55:22,l,2,8,,,,,,,,,
234,2638,2020/06/01 13:55:30,S,1,4,,,,,,,,,
235,2639,2020/06/01 13:55:34,l,2,8,,,,,,,,,
236,2641,2020/06/01 13:55:42,S,1,4,,,,,,,,,
237,2642,2020/06/01 13:55:46,l,3,12,,,,,,,,,
238,2645,2020/06/01 13:55:58,S,10,40,,,,,,,,,
239,2655,2020/06/01 13:56:38,l,1,4,,,,,,,,,
240,2656,2020/06/01 13:56:42,S,18,72,,,,,,,,,
241,2674,2020/06/01 13:57:54,R,7,28,,,,,,,,,
242,2681,2020/06/01 13:58:22,l,7,28,,,,,,,,,
243,2688,2020/06/01 13:58:50,h,5,20,,,,,,,,,
244,2693,2020/06/01 13:59:10,l,1,4,,,,,,,,,
245,2694,2020/06/01 13:59:14,S,70,280,,,,,,,,,
246,2764,2020/06/01 14:03:54,l,1,4,,,,,,,,,
247,2765,2020/06/01 14:03:58,S,2,8,,,,,,,,,
248,2767,2020/06/01 14:04:06,l,1,4,,,,,,,,,
249,2768,2020/06/01 14:04:10,S,4,16,,,,,,,,,
250,2772,2020/06/01 14:04:26,l,1,4,,,,,,,,,
251,2773,2020/06/01 14:04:30,S,65,260,,,,,,,,,
252,2838,2020/06/01 14:08:50,l,1,4,,,,,,,,,
253,2839,2020/06/01 14:08:54,S,1,4,,,,,,,,,
254,2840,2020/06/01 14:08:58,l,1,4,,,,,,,,,
255,2841,2020/06/01 14:09:02,S,27,108,,,,,,,,,
256,2868,2020/06/01 14:10:50,R,11,44,,,,,,,,,
257,2879,2020/06/01 14:11:34,S,1,4,,,,,,,,,
258,2880,2020/06/01 14:11:38,R,38,152,,,,,,,,,
259,2918,2020/06/01 14:14:10,l,3,12,,,,,,,,,
260,2921,2020/06/01 14:14:22,S,22,88,,,,,,,,,
261,2943,2020/06/01 14:15:50,l,6,24,,,,,,,,,
262,2949,2020/06/01 14:16:14,S,88,352,,,,,,,,,
263,3037,2020/06/01 14:22:06,l,5,20,,,,,,,,,
264,3042,2020/06/01 14:22:26,S,21,84,,,,,,,,,
265,3063,2020/06/01 14:23:50,l,3,12,,,,,,,,,
266,3066,2020/06/01 14:24:02,S,46,184,,,,,,,,,
267,3112,2020/06/01 14:27:06,l,1,4,,,,,,,,,
268,3113,2020/06/01 14:27:10,S,1,4,,,,,,,,,
269,3114,2020/06/01 14:27:14,l,1,4,,,,,,,,,
270,3115,2020/06/01 14:27:18,S,42,168,,,,,,,,,
271,3157,2020/06/01 14:30:06,R,1,4,,,,,,,,,
272,3158,2020/06/01 14:30:10,S,2,8,,,,,,,,,
273,3160,2020/06/01 14:30:18,R,9,36,,,,,,,,,
274,3169,2020/06/01 14:30:54,l,1,4,,,,,,,,,
275,3170,2020/06/01 14:30:58,S,1,4,,,,,,,,,
276,3171,2020/06/01 14:31:02,R,5,20,,,,,,,,,
277,3176,2020/06/01 14:31:22,S,2,8,,,,,,,,,
278,3178,2020/06/01 14:31:30,R,4,16,,,,,,,,,
279,3182,2020/06/01 14:31:46,l,4,16,,,,,,,,,
280,3186,2020/06/01 14:32:02,S,17,68,,,,,,,,,
281,3203,2020/06/01 14:33:10,l,6,24,,,,,,,,,
282,3209,2020/06/01 14:33:34,S,35,140,,,,,,,,,
283,3244,2020/06/01 14:35:54,l,4,16,,,,,,,,,
