File name,20200601S181BL.kcd
Result analysis file name,20200601S181BL-1.raf
Subject,20200602BSL1S179S180
Gender,Male
Age
Memo,20200602BSL1S179S180S181
Free comment 1,Recordings,20200601BSL1S179S180S181
Free comment 2,ch1 ,S179
Free comment 3,ch2,S180
Free comment 4,ch3,S181
Free comment 5,ch4 ,
Free comment 6,ch5,
Free comment 7,ch6 ,
Free comment 8,ch7,
Free comment 9,ch8,
Free comment 10,operator,sakthi

Time,Epoch No.,Stage,,
2020/06/01 11:09:26,147,l,0,
2020/06/01 11:09:30,148,h,0,
2020/06/01 11:09:34,149,l,0,
2020/06/01 11:09:38,150,l,0,
2020/06/01 11:09:42,151,l,0,
2020/06/01 11:09:46,152,h,0,
2020/06/01 11:09:50,153,h,0,
2020/06/01 11:09:54,154,h,0,
2020/06/01 11:09:58,155,l,0,
2020/06/01 11:10:02,156,l,0,
2020/06/01 11:10:06,157,l,0,
2020/06/01 11:10:10,158,h,0,
2020/06/01 11:10:14,159,l,0,
2020/06/01 11:10:18,160,l,0,
2020/06/01 11:10:22,161,h,0,
2020/06/01 11:10:26,162,l,0,
2020/06/01 11:10:30,163,h,0,
2020/06/01 11:10:34,164,l,0,
2020/06/01 11:10:38,165,l,0,
2020/06/01 11:10:42,166,h,0,
2020/06/01 11:10:46,167,h,0,
2020/06/01 11:10:50,168,h,0,
2020/06/01 11:10:54,169,l,0,
2020/06/01 11:10:58,170,l,0,
2020/06/01 11:11:02,171,l,0,
2020/06/01 11:11:06,172,S,0,
2020/06/01 11:11:10,173,S,0,
2020/06/01 11:11:14,174,S,0,
2020/06/01 11:11:18,175,S,0,
2020/06/01 11:11:22,176,S,0,
2020/06/01 11:11:26,177,S,0,
2020/06/01 11:11:30,178,S,0,
2020/06/01 11:11:34,179,l,0,
2020/06/01 11:11:38,180,l,0,
2020/06/01 11:11:42,181,l,0,
2020/06/01 11:11:46,182,S,0,
2020/06/01 11:11:50,183,S,0,
2020/06/01 11:11:54,184,S,0,
2020/06/01 11:11:58,185,S,0,
2020/06/01 11:12:02,186,S,0,
2020/06/01 11:12:06,187,S,0,
2020/06/01 11:12:10,188,S,0,
2020/06/01 11:12:14,189,S,0,
2020/06/01 11:12:18,190,S,0,
2020/06/01 11:12:22,191,S,0,
2020/06/01 11:12:26,192,S,0,
2020/06/01 11:12:30,193,l,0,
2020/06/01 11:12:34,194,l,0,
2020/06/01 11:12:38,195,S,0,
2020/06/01 11:12:42,196,S,0,
2020/06/01 11:12:46,197,S,0,
2020/06/01 11:12:50,198,S,0,
2020/06/01 11:12:54,199,S,0,
2020/06/01 11:12:58,200,S,0,
2020/06/01 11:13:02,201,S,0,
2020/06/01 11:13:06,202,S,0,
2020/06/01 11:13:10,203,S,0,
2020/06/01 11:13:14,204,S,0,
2020/06/01 11:13:18,205,S,0,
2020/06/01 11:13:22,206,S,0,
2020/06/01 11:13:26,207,S,0,
2020/06/01 11:13:30,208,S,0,
2020/06/01 11:13:34,209,S,0,
2020/06/01 11:13:38,210,S,0,
2020/06/01 11:13:42,211,S,0,
2020/06/01 11:13:46,212,S,0,
2020/06/01 11:13:50,213,S,0,
2020/06/01 11:13:54,214,S,0,
2020/06/01 11:13:58,215,S,0,
2020/06/01 11:14:02,216,S,0,
2020/06/01 11:14:06,217,S,0,
2020/06/01 11:14:10,218,S,0,
2020/06/01 11:14:14,219,S,0,
2020/06/01 11:14:18,220,S,0,
2020/06/01 11:14:22,221,R,0,
2020/06/01 11:14:26,222,R,0,
2020/06/01 11:14:30,223,R,0,
2020/06/01 11:14:34,224,R,0,
2020/06/01 11:14:38,225,l,0,
2020/06/01 11:14:42,226,l,0,
2020/06/01 11:14:46,227,l,0,
2020/06/01 11:14:50,228,l,0,
2020/06/01 11:14:54,229,l,0,
2020/06/01 11:14:58,230,l,0,
2020/06/01 11:15:02,231,l,0,
2020/06/01 11:15:06,232,l,0,
2020/06/01 11:15:10,233,l,0,
2020/06/01 11:15:14,234,l,0,
2020/06/01 11:15:18,235,h,0,
2020/06/01 11:15:22,236,l,0,
2020/06/01 11:15:26,237,l,0,
2020/06/01 11:15:30,238,l,0,
2020/06/01 11:15:34,239,l,0,
2020/06/01 11:15:38,240,h,0,
2020/06/01 11:15:42,241,h,0,
2020/06/01 11:15:46,242,h,0,
2020/06/01 11:15:50,243,l,0,
2020/06/01 11:15:54,244,l,0,
2020/06/01 11:15:58,245,l,0,
2020/06/01 11:16:02,246,h,0,
2020/06/01 11:16:06,247,l*,0,
2020/06/01 11:16:10,248,h,0,
2020/06/01 11:16:14,249,h,0,
2020/06/01 11:16:18,250,h,0,
2020/06/01 11:16:22,251,l,0,
2020/06/01 11:16:26,252,h,0,
2020/06/01 11:16:30,253,h,0,
2020/06/01 11:16:34,254,h,0,
2020/06/01 11:16:38,255,l,0,
2020/06/01 11:16:42,256,l,0,
2020/06/01 11:16:46,257,l,0,
2020/06/01 11:16:50,258,l,0,
2020/06/01 11:16:54,259,l,0,
2020/06/01 11:16:58,260,l,0,
2020/06/01 11:17:02,261,l,0,
2020/06/01 11:17:06,262,S,0,
2020/06/01 11:17:10,263,S,0,
2020/06/01 11:17:14,264,S,0,
2020/06/01 11:17:18,265,S,0,
2020/06/01 11:17:22,266,l,0,
2020/06/01 11:17:26,267,S,0,
2020/06/01 11:17:30,268,S,0,
2020/06/01 11:17:34,269,S,0,
2020/06/01 11:17:38,270,S,0,
2020/06/01 11:17:42,271,S,0,
2020/06/01 11:17:46,272,S,0,
2020/06/01 11:17:50,273,S,0,
2020/06/01 11:17:54,274,S,0,
2020/06/01 11:17:58,275,S,0,
2020/06/01 11:18:02,276,S,0,
2020/06/01 11:18:06,277,S,0,
2020/06/01 11:18:10,278,S,0,
2020/06/01 11:18:14,279,S,0,
2020/06/01 11:18:18,280,S,0,
2020/06/01 11:18:22,281,S,0,
2020/06/01 11:18:26,282,S,0,
2020/06/01 11:18:30,283,S,0,
2020/06/01 11:18:34,284,S,0,
2020/06/01 11:18:38,285,S,0,
2020/06/01 11:18:42,286,S,0,
2020/06/01 11:18:46,287,S,0,
2020/06/01 11:18:50,288,S,0,
2020/06/01 11:18:54,289,S,0,
2020/06/01 11:18:58,290,l,0,
2020/06/01 11:19:02,291,S,0,
2020/06/01 11:19:06,292,S,0,
2020/06/01 11:19:10,293,l,0,
2020/06/01 11:19:14,294,S,0,
2020/06/01 11:19:18,295,S,0,
2020/06/01 11:19:22,296,S,0,
2020/06/01 11:19:26,297,S,0,
2020/06/01 11:19:30,298,S,0,
2020/06/01 11:19:34,299,S,0,
2020/06/01 11:19:38,300,S,0,
2020/06/01 11:19:42,301,S,0,
2020/06/01 11:19:46,302,S,0,
2020/06/01 11:19:50,303,S,0,
2020/06/01 11:19:54,304,S,0,
2020/06/01 11:19:58,305,S,0,
2020/06/01 11:20:02,306,S,0,
2020/06/01 11:20:06,307,S,0,
2020/06/01 11:20:10,308,S,0,
2020/06/01 11:20:14,309,S,0,
2020/06/01 11:20:18,310,S,0,
2020/06/01 11:20:22,311,S,0,
2020/06/01 11:20:26,312,S,0,
2020/06/01 11:20:30,313,S,0,
2020/06/01 11:20:34,314,l,0,
2020/06/01 11:20:38,315,S,0,
2020/06/01 11:20:42,316,S,0,
2020/06/01 11:20:46,317,S,0,
2020/06/01 11:20:50,318,S,0,
2020/06/01 11:20:54,319,S,0,
2020/06/01 11:20:58,320,S,0,
2020/06/01 11:21:02,321,S,0,
2020/06/01 11:21:06,322,S,0,
2020/06/01 11:21:10,323,S,0,
2020/06/01 11:21:14,324,S,0,
2020/06/01 11:21:18,325,S,0,
2020/06/01 11:21:22,326,S,0,
2020/06/01 11:21:26,327,S,0,
2020/06/01 11:21:30,328,S,0,
2020/06/01 11:21:34,329,S,0,
2020/06/01 11:21:38,330,S,0,
2020/06/01 11:21:42,331,S,0,
2020/06/01 11:21:46,332,S,0,
2020/06/01 11:21:50,333,S,0,
2020/06/01 11:21:54,334,S,0,
2020/06/01 11:21:58,335,S,0,
2020/06/01 11:22:02,336,S,0,
2020/06/01 11:22:06,337,S,0,
2020/06/01 11:22:10,338,S,0,
2020/06/01 11:22:14,339,S,0,
2020/06/01 11:22:18,340,S,0,
2020/06/01 11:22:22,341,S,0,
2020/06/01 11:22:26,342,S,0,
2020/06/01 11:22:30,343,S,0,
2020/06/01 11:22:34,344,S,0,
2020/06/01 11:22:38,345,S,0,
2020/06/01 11:22:42,346,S,0,
2020/06/01 11:22:46,347,S,0,
2020/06/01 11:22:50,348,S,0,
2020/06/01 11:22:54,349,S,0,
2020/06/01 11:22:58,350,S,0,
2020/06/01 11:23:02,351,S,0,
2020/06/01 11:23:06,352,S,0,
2020/06/01 11:23:10,353,S,0,
2020/06/01 11:23:14,354,S,0,
2020/06/01 11:23:18,355,S,0,
2020/06/01 11:23:22,356,S,0,
2020/06/01 11:23:26,357,S,0,
2020/06/01 11:23:30,358,S,0,
2020/06/01 11:23:34,359,S,0,
2020/06/01 11:23:38,360,S,0,
2020/06/01 11:23:42,361,S,0,
2020/06/01 11:23:46,362,S,0,
2020/06/01 11:23:50,363,S,0,
2020/06/01 11:23:54,364,S,0,
2020/06/01 11:23:58,365,S,0,
2020/06/01 11:24:02,366,S,0,
2020/06/01 11:24:06,367,S,0,
2020/06/01 11:24:10,368,S,0,
2020/06/01 11:24:14,369,S,0,
2020/06/01 11:24:18,370,S,0,
2020/06/01 11:24:22,371,S,0,
2020/06/01 11:24:26,372,S,0,
2020/06/01 11:24:30,373,S,0,
2020/06/01 11:24:34,374,S,0,
2020/06/01 11:24:38,375,S,0,
2020/06/01 11:24:42,376,S,0,
2020/06/01 11:24:46,377,S,0,
2020/06/01 11:24:50,378,S,0,
2020/06/01 11:24:54,379,S,0,
2020/06/01 11:24:58,380,S,0,
2020/06/01 11:25:02,381,S,0,
2020/06/01 11:25:06,382,S,0,
2020/06/01 11:25:10,383,S,0,
2020/06/01 11:25:14,384,S,0,
2020/06/01 11:25:18,385,S,0,
2020/06/01 11:25:22,386,S,0,
2020/06/01 11:25:26,387,S,0,
2020/06/01 11:25:30,388,S,0,
2020/06/01 11:25:34,389,S,0,
2020/06/01 11:25:38,390,S,0,
2020/06/01 11:25:42,391,l,0,
2020/06/01 11:25:46,392,S,0,
2020/06/01 11:25:50,393,S,0,
2020/06/01 11:25:54,394,S,0,
2020/06/01 11:25:58,395,S,0,
2020/06/01 11:26:02,396,S,0,
2020/06/01 11:26:06,397,S,0,
2020/06/01 11:26:10,398,S,0,
2020/06/01 11:26:14,399,S,0,
2020/06/01 11:26:18,400,S,0,
2020/06/01 11:26:22,401,S,0,
2020/06/01 11:26:26,402,S,0,
2020/06/01 11:26:30,403,S,0,
2020/06/01 11:26:34,404,S,0,
2020/06/01 11:26:38,405,S,0,
2020/06/01 11:26:42,406,S,0,
2020/06/01 11:26:46,407,S,0,
